city,latitude,longitude,address
Royal Oak Michigan 48073,42.518364,-83.168437,13 Mile - Woodward
Washington Washington DC 20036,38.907371,-77.041899,1301 Connecticut Ave.
Vancouver British Columbia V6E 4A2,49.287203,-123.128538,1301 Robson Street
Medford Oregon 97501,42.313194,-122.856791,1303 Cntr Dr. Mdfrd-FMyr)
Seattle Washington 98133,47.72324,-122.344597,130th - Aurora
Carmel Indiana 46033,39.978445,-86.083389,131st - Hazel Dell Pkwy
New York New York 10105,40.714431,-74.007207,1345 Ave. of the Americas Acquisiti
New York New York 10022,40.761151,-73.96929,135 E 57 Street (New World)
Overland Park Kansas 66213,38.89974,-94.706012,135th - Metcalf
New York New York 10018,40.752249,-73.987375,1372 Broadway
Bronx New York 10462,40.835273,-73.861313,1385 Metropolitan Ave (UCO)
Toronto Ontario M5R 1L4,43.670494,-79.393515,139 Yorkville Ave.
Spokane Washington 99203,47.643852,-117.407249,13TH and Grand
Eugene Oregon 97403,44.032173,-123.08036,13th - Alder
North Vancouver British Columbia V7M 2H7,49.320654,-123.084781,13th - Lonsdale
Washington Washington DC 20004,38.895825,-77.029614,13th - Penn
Portland Oregon 97202,45.464462,-122.661308,13th - Tacoma
Washington Washington DC 20009,38.917215,-77.029604,13th - U (UCO)
Golden Colorado 804011915,39.757401,-105.223183,13th St - Washington Ave
Redding California 96001,40.566092,-122.426315,1400 Eureka Way - Redding
Bradenton Florida 34207,27.462233,-82.575969,1401 Cortez Rd.
Charlotte North Carolina 28203,35.201232,-80.843469,1401 East Blvd.
Washington Washington DC 20005,38.899431,-77.032216,1401 New York Ave.
Walla Walla Washington 99362,46.077157,-118.317633,1410 Plaza Way - Walla Walla
Orlando Florida 32809,28.450806,-81.396667,1411 Sand Lake Rd.
Washington Washington DC 20005,38.909791,-77.03279,1429 P Street (UCO)
Seattle Washington 98125,47.602468,-122.313066,145th - 15th
Seattle Washington 98125,47.73413,-122.340874,145th and Lake City Way
Miami Florida 33176,25.632764,-80.33901,14795 S. Dixie Hwy.
Omaha Nebraska 68154,41.265488,-96.144165,147th - Maple
Toronto Ontario M4T 1Z2,43.68882,-79.394225,1495 Yonge - St. Clair
New York New York 10011,40.737955,-73.998264,14th - Sixth
Beaumont California 922234704,33.930161,-116.97715,14th St. - Beaumont Ave  Beaumont
Loveland Colorado 80537,40.38732,-105.097066,14th Str - Taft Ave
Washington Washington DC 20005,38.905265,-77.031839,14th Street
San Francisco California 94104,37.790059,-122.400865,15 Sutter St.
New York New York 10017,40.751154,-73.97573,150 E. 42nd Street
Columbus Ohio 432122403,39.985348,-82.963989,1505 5th Ave
Conyers Georgia 30013,33.650514,-84.009332,1515 Hwy 138
Overland Park Kansas 66233,38.85461,-94.709634,151st - Marty St
Toronto Ontario M4G 3B5,43.705358,-79.374818,1545 Bayview
Clearwater Florida 33764,27.87001,-82.705499,1547 US Hwy 19 S
Toronto Ontario M5H 3N5,43.648454,-79.385086,155 University
San Lorenzo California 945801639,37.6805,-122.127441,15600 Hesperian - San Lorenzo
Omaha Nebraska 68154,41.263664,-96.158073,156th - Dodge
New York New York 10036,40.759932,-73.985066,1585 Broadway (47th)
Edmond Oklahoma 73034,35.666534,-97.329735,15th  - Broadway
Salt Lake City Utah 841052809,40.759521,-111.888191,15th - 15th
Portland Oregon 97232,45.527233,-122.650543,15th - Broadway
Sacramento California 95818,38.56472,-121.492499,15th - Broadway - Sacramento
Edmond Oklahoma 73013,35.615509,-97.517601,15th - Bryant
Plano Texas 75075,33.019459,-96.733818,15th - Custer
Omaha Nebraska 68102,41.25859,-95.926619,15th - Douglas
